GHGRP 1,Company,Facility,Subsector,Extraction Technology,Product,AER Approval 1,Year,Cogen_Adjusted_Emission,Production,Emission_Intensity
G10804,Athabasca Oil Corporation,AOC Hangingstone SAGD,In Situ,SAGD,Crude Bitumen,11888,2012,0.0,0,0.0
G11982,Harvest Operations Corp.,BlackGold SAGD,In Situ,SAGD,Crude Bitumen,11387,2012,0.0,0,0.0
G10065,Cenovus Energy Inc,Christina Lake SAGD Bitumen Battery,In Situ,SAGD,Crude Bitumen,8591,2012,981864.0,3648504,0.269
G10219,Canadian Natural Upgrading Ltd,CNUL Peace River Complex,In Situ,CSS,Crude Bitumen,8143,2012,269246.0,413276,0.651
G10073,Imperial Oil Resources Limited,Cold Lake,In Situ,CSS,Crude Bitumen,8558,2012,3989482.0,8935861,0.446
G10557,Suncor Energy Oil Sands Limited Partnership ,Firebag,In Situ,SAGD,Crude Bitumen,8870,2012,3132852.0,6040491,0.519
G10465,Cenovus Energy Inc,Foster Creek SAGD Bitumen Battery (with Cogen),In Situ,SAGD,Crude Bitumen,8623,2012,1947057.0,6719975,0.29
G10781,Canadian Natural Resources Limited,Germain SAGD Plant,In Situ,SAGD,Crude Bitumen,11509,2012,0.0,0,0.0
G11409,Greenfire Resources Operating Corporation,Hangingstone Expansion Project,In Situ,SAGD,Crude Bitumen,11910,2012,0.0,0,0.0
G10134,Greenfire Resources Operating Corporation,Hangingstone SAGD Demonstration Facility,In Situ,SAGD,Crude Bitumen,8788,2012,261498.0,348867,0.75
G10409,Canadian Natural Resources Limited,"Jackfish 1, 2, & 3",In Situ,SAGD,Crude Bitumen,10097,2012,1145400.0,2883943,0.397
G10744,Canadian Natural Resources Limited,Kirby,In Situ,SAGD,Crude Bitumen,11475,2012,0.0,0,0.0
G10639,Athabasca Oil Corporation,Leismer SAGD Bitumen Battery,In Situ,SAGD,Crude Bitumen,10935,2012,332375.0,950397,0.35
G10817,Pengrowth Energy Corporation,LINDBERGH SAGD 04-25,In Situ,SAGD,Crude Bitumen,6410,2012,0.0,52328,0.0
G10390,CNOOC Petroleum North America ULC,Long Lake Project,In Situ,SAGD,Synthetic Crude Oil,ABOS0098317 ,2012,2712043.0,1733803,1.564
G10735,PetroChina Canada Ltd.,MacKay River Commercial Project,In Situ,SAGD,Crude Bitumen,11715,2012,1464.0,0,0.0
G10180,Suncor Energy Oil Sands Limited Partnership,"MacKay River, In-Situ Oil Sands Plant",In Situ,SAGD,Crude Bitumen,8668,2012,646512.0,1568468,0.412
G10619,MEG Energy Corp.,MEG Christina Lake Regional Project,In Situ,SAGD,Crude Bitumen,10773,2012,616026.0,1674729,0.368
G10412,Strathcona Resources Ltd,Orion Facilities,In Situ,SAGD,Crude Bitumen,10103,2012,150967.0,255528,0.591
G10723,Greenfire Resources Operating Corporation,STP McKay Thermal Project,In Situ,SAGD,Crude Bitumen,11461,2012,69225.0,12429,5.57
G10815,Cenovus Energy Inc,Sunrise Thermal,In Situ,SAGD,Crude Bitumen,10419,2012,0.0,0,0.0
G10414,ConocoPhillips Surmont Partnership,Surmont SAGD Commercial Battery,In Situ,SAGD,Crude Bitumen,9426,2012,518199.0,1352845,0.383
G10394,Strathcona Resources Ltd,Tucker Thermal,In Situ,SAGD,Crude Bitumen,9835,2012,584081.0,555608,1.051
G10324,Canadian Natural Resources Limited,Wolf Lake and Primrose Plant,In Situ,CSS,Crude Bitumen,9140,2012,3334140.0,5704990,0.584
G10262,Canadian Natural Upgrading Ltd,Canadian Natural Upgrading Limited Muskeg River Mine and Jackpine Mine and Scotford Upgrader,Mining & Upgrading,PFT,Synthetic Crude Oil,ABOS0077192 ,2012,5565531.0,12367370,0.45
G11397,Fort Hills Energy L.P.,Fort Hills Oil Sands,Mining Stand-Alone,PFT,Crude Bitumen,ABOS0104948 ,2012,0.0,0,0.0
G10408,Canadian Natural Resources Limited,Horizon Oil Sands Processing Plant and Mine,Mining & Upgrading,NFT,Synthetic Crude Oil,ABOS0093231 ,2012,3587434.0,5046029,0.711
G10750,Imperial Oil Resources Limited,Kearl Oil Sands Processing Plant and Mine,Mining Stand-Alone,PFT,Crude Bitumen,ABOS0101871 ,2012,0.0,0,0.0
G10187,Syncrude Canada Ltd.,Mildred Lake and Aurora Plant Sites,Mining & Upgrading,NFT,Synthetic Crude Oil,ABOS0077533 ,2012,11858774.0,16901166,0.702
G10558,Suncor Energy Oil Sands Limited Partnership ,Suncor Energy Inc. Oil Sands,Mining & Upgrading,NFT,Synthetic Crude Oil,ABOS0077189 ,2012,8756619.0,16414649,0.533
G10604,Connacher Oil and Gas Limited,Great Divide,In Situ,SAGD,Crude Bitumen,10587,2013,462232.0,683744,0.676
G12193,IPC Canada. Ltd,Blackrod SAGD Pilot 02-36-076-18W4,In Situ,SAGD,Crude Bitumen,11522,2013,0.0,0,0.0
G10804,Athabasca Oil Corporation,AOC Hangingstone SAGD,In Situ,SAGD,Crude Bitumen,11888,2013,0.0,0,0.0
G11982,Harvest Operations Corp.,BlackGold SAGD,In Situ,SAGD,Crude Bitumen,11387,2013,0.0,0,0.0
G10065,Cenovus Energy Inc,Christina Lake SAGD Bitumen Battery,In Situ,SAGD,Crude Bitumen,8591,2013,1411923.0,5719937,0.247
G10219,Canadian Natural Upgrading Ltd,CNUL Peace River Complex,In Situ,CSS,Crude Bitumen,8143,2013,270180.0,260407,1.038
G10073,Imperial Oil Resources Limited,Cold Lake,In Situ,CSS,Crude Bitumen,8558,2013,4249415.0,8853949,0.48
G10557,Suncor Energy Oil Sands Limited Partnership ,Firebag,In Situ,SAGD,Crude Bitumen,8870,2013,3388789.0,8337721,0.406
G10465,Cenovus Energy Inc,Foster Creek SAGD Bitumen Battery (with Cogen),In Situ,SAGD,Crude Bitumen,8623,2013,1993157.0,6169976,0.323
G10781,Canadian Natural Resources Limited,Germain SAGD Plant,In Situ,SAGD,Crude Bitumen,11509,2013,0.0,351,0.0
G11409,Greenfire Resources Operating Corporation,Hangingstone Expansion Project,In Situ,SAGD,Crude Bitumen,11910,2013,0.0,0,0.0
G10134,Greenfire Resources Operating Corporation,Hangingstone SAGD Demonstration Facility,In Situ,SAGD,Crude Bitumen,8788,2013,230570.0,344757,0.669
G10409,Canadian Natural Resources Limited,"Jackfish 1, 2, & 3",In Situ,SAGD,Crude Bitumen,10097,2013,1225101.0,3308380,0.37
G10744,Canadian Natural Resources Limited,Kirby,In Situ,SAGD,Crude Bitumen,11475,2013,106319.0,23269,4.569
G10639,Athabasca Oil Corporation,Leismer SAGD Bitumen Battery,In Situ,SAGD,Crude Bitumen,10935,2013,378739.0,645869,0.586
G10817,Pengrowth Energy Corporation,LINDBERGH SAGD 04-25,In Situ,SAGD,Crude Bitumen,6410,2013,0.0,107023,0.0
G10390,CNOOC Petroleum North America ULC,Long Lake Project,In Situ,SAGD,Synthetic Crude Oil,ABOS0098317 ,2013,3244831.0,2028914,1.599
G10735,PetroChina Canada Ltd.,MacKay River Commercial Project,In Situ,SAGD,Crude Bitumen,11715,2013,4875.0,0,0.0
G10180,Suncor Energy Oil Sands Limited Partnership,"MacKay River, In-Situ Oil Sands Plant",In Situ,SAGD,Crude Bitumen,8668,2013,712278.0,1654847,0.43
G10619,MEG Energy Corp.,MEG Christina Lake Regional Project,In Situ,SAGD,Crude Bitumen,10773,2013,837650.0,2049437,0.409
G10412,Strathcona Resources Ltd,Orion Facilities,In Situ,SAGD,Crude Bitumen,10103,2013,186177.0,317789,0.586
G10723,Greenfire Resources Operating Corporation,STP McKay Thermal Project,In Situ,SAGD,Crude Bitumen,11461,2013,62979.0,87068,0.723
G10815,Cenovus Energy Inc,Sunrise Thermal,In Situ,SAGD,Crude Bitumen,10419,2013,0.0,0,0.0
G10414,ConocoPhillips Surmont Partnership,Surmont SAGD Commercial Battery,In Situ,SAGD,Crude Bitumen,9426,2013,546385.0,1503998,0.363
G10394,Strathcona Resources Ltd,Tucker Thermal,In Situ,SAGD,Crude Bitumen,9835,2013,530990.0,598470,0.887
G10324,Canadian Natural Resources Limited,Wolf Lake and Primrose Plant,In Situ,CSS,Crude Bitumen,9140,2013,2805361.0,5498534,0.51
G10262,Canadian Natural Upgrading Ltd,Canadian Natural Upgrading Limited Muskeg River Mine and Jackpine Mine and Scotford Upgrader,Mining & Upgrading,PFT,Synthetic Crude Oil,ABOS0077192 ,2013,6077927.0,13765963,0.442
G11397,Fort Hills Energy L.P.,Fort Hills Oil Sands,Mining Stand-Alone,PFT,Crude Bitumen,ABOS0104948 ,2013,0.0,0,0.0
G10408,Canadian Natural Resources Limited,Horizon Oil Sands Processing Plant and Mine,Mining & Upgrading,NFT,Synthetic Crude Oil,ABOS0093231 ,2013,4072658.0,5843263,0.697
G10750,Imperial Oil Resources Limited,Kearl Oil Sands Processing Plant and Mine,Mining Stand-Alone,PFT,Crude Bitumen,ABOS0101871 ,2013,717708.0,1451163,0.495
G10187,Syncrude Canada Ltd.,Mildred Lake and Aurora Plant Sites,Mining & Upgrading,NFT,Synthetic Crude Oil,ABOS0077533 ,2013,11833994.0,15924758,0.743
G10558,Suncor Energy Oil Sands Limited Partnership ,Suncor Energy Inc. Oil Sands,Mining & Upgrading,NFT,Synthetic Crude Oil,ABOS0077189 ,2013,7873243.0,16744254,0.47
G10604,Connacher Oil and Gas Limited,Great Divide,In Situ,SAGD,Crude Bitumen,10587,2014,473432.0,820326,0.577
G12193,IPC Canada. Ltd,Blackrod SAGD Pilot 02-36-076-18W4,In Situ,SAGD,Crude Bitumen,11522,2014,0.0,0,0.0
G10804,Athabasca Oil Corporation,AOC Hangingstone SAGD,In Situ,SAGD,Crude Bitumen,11888,2014,0.0,0,0.0
G11982,Harvest Operations Corp.,BlackGold SAGD,In Situ,SAGD,Crude Bitumen,11387,2014,0.0,34,0.0
G10065,Cenovus Energy Inc,Christina Lake SAGD Bitumen Battery,In Situ,SAGD,Crude Bitumen,8591,2014,1831146.0,8014347,0.228
G10219,Canadian Natural Upgrading Ltd,CNUL Peace River Complex,In Situ,CSS,Crude Bitumen,8143,2014,278612.0,248545,1.121
G10073,Imperial Oil Resources Limited,Cold Lake,In Situ,CSS,Crude Bitumen,8558,2014,4017628.0,8468353,0.474
G10557,Suncor Energy Oil Sands Limited Partnership ,Firebag,In Situ,SAGD,Crude Bitumen,8870,2014,3690647.0,10027908,0.368
G10465,Cenovus Energy Inc,Foster Creek SAGD Bitumen Battery (with Cogen),In Situ,SAGD,Crude Bitumen,8623,2014,2308514.0,6866255,0.336
G10781,Canadian Natural Resources Limited,Germain SAGD Plant,In Situ,SAGD,Crude Bitumen,11509,2014,79844.0,30904,2.584
G11409,Greenfire Resources Operating Corporation,Hangingstone Expansion Project,In Situ,SAGD,Crude Bitumen,11910,2014,0.0,0,0.0
G10134,Greenfire Resources Operating Corporation,Hangingstone SAGD Demonstration Facility,In Situ,SAGD,Crude Bitumen,8788,2014,224765.0,332757,0.675
G10409,Canadian Natural Resources Limited,"Jackfish 1, 2, & 3",In Situ,SAGD,Crude Bitumen,10097,2014,1442502.0,3818842,0.378
G10744,Canadian Natural Resources Limited,Kirby,In Situ,SAGD,Crude Bitumen,11475,2014,414773.0,882381,0.47
G10639,Athabasca Oil Corporation,Leismer SAGD Bitumen Battery,In Situ,SAGD,Crude Bitumen,10935,2014,400514.0,769703,0.52
G10817,Pengrowth Energy Corporation,LINDBERGH SAGD 04-25,In Situ,SAGD,Crude Bitumen,6410,2014,0.0,97748,0.0
G10390,CNOOC Petroleum North America ULC,Long Lake Project,In Situ,SAGD,Synthetic Crude Oil,ABOS0098317 ,2014,3283947.0,2221707,1.478
G10735,PetroChina Canada Ltd.,MacKay River Commercial Project,In Situ,SAGD,Crude Bitumen,11715,2014,17442.0,0,0.0
G10180,Suncor Energy Oil Sands Limited Partnership,"MacKay River, In-Situ Oil Sands Plant",In Situ,SAGD,Crude Bitumen,8668,2014,708186.0,1550681,0.457
G10619,MEG Energy Corp.,MEG Christina Lake Regional Project,In Situ,SAGD,Crude Bitumen,10773,2014,1624076.0,4130666,0.393
G10412,Strathcona Resources Ltd,Orion Facilities,In Situ,SAGD,Crude Bitumen,10103,2014,190065.0,423736,0.449
G10723,Greenfire Resources Operating Corporation,STP McKay Thermal Project,In Situ,SAGD,Crude Bitumen,11461,2014,111899.0,116627,0.959
G10815,Cenovus Energy Inc,Sunrise Thermal,In Situ,SAGD,Crude Bitumen,10419,2014,0.0,0,0.0
